campaign_id,name,start_date,end_date,ad_id,ad_platform,ad_type,target_gender,target_age_group,budget
5,Campaign_5_Launch,2025-07-11,2025-08-28,50,Instagram,Stories,Female,35-44,22254.551562467223
5,Campaign_5_Launch,2025-07-11,2025-08-28,179,Instagram,Stories,All,35-44,23276.033022787826
5,Campaign_5_Launch,2025-07-11,2025-08-28,193,Instagram,Carousel,All,25-34,22846.105414744954
13,Campaign_13_Winter,2025-04-19,2025-07-01,8,Facebook,Carousel,All,25-34,3736.6255512971343
13,Campaign_13_Winter,2025-04-19,2025-07-01,53,Facebook,Stories,Female,25-34,3482.708947691258
13,Campaign_13_Winter,2025-04-19,2025-07-01,69,Facebook,Stories,Female,18-24,3633.5173785172287
13,Campaign_13_Winter,2025-04-19,2025-07-01,159,Instagram,Stories,All,25-34,3652.801003288603
13,Campaign_13_Winter,2025-04-19,2025-07-01,171,Instagram,Stories,Male,All,3390.8903242275273
13,Campaign_13_Winter,2025-04-19,2025-07-01,176,Instagram,Video,All,25-34,3958.8767949782477
21,Campaign_21_Winter,2025-04-19,2025-06-22,14,Instagram,Image,Female,35-44,8635.330349005537
21,Campaign_21_Winter,2025-04-19,2025-06-22,31,Facebook,Image,Female,25-34,10033.250332946744
21,Campaign_21_Winter,2025-04-19,2025-06-22,40,Facebook,Stories,All,All,9584.624527054646
21,Campaign_21_Winter,2025-04-19,2025-06-22,71,Facebook,Stories,Male,All,9037.60479099307
26,Campaign_26_Winter,2025-04-01,2025-06-17,34,Instagram,Stories,Female,35-44,15984.803733496905
26,Campaign_26_Winter,2025-04-01,2025-06-17,51,Instagram,Carousel,All,18-24,14038.940533050645
26,Campaign_26_Winter,2025-04-01,2025-06-17,78,Facebook,Image,Female,18-24,14515.125733452454
27,Campaign_27_Q3,2025-02-13,2025-04-02,154,Instagram,Stories,Female,All,6835.714744363133
27,Campaign_27_Q3,2025-02-13,2025-04-02,174,Facebook,Carousel,Female,35-44,6150.585255636866
28,Campaign_28_Winter,2025-05-09,2025-06-30,1,Facebook,Video,Female,35-44,10716.456472540378
28,Campaign_28_Winter,2025-05-09,2025-06-30,4,Facebook,Stories,Female,25-34,11214.635845180594
28,Campaign_28_Winter,2025-05-09,2025-06-30,15,Facebook,Stories,All,All,10913.697682279028
29,Campaign_29_Winter,2025-07-16,2025-10-06,25,Facebook,Video,Male,25-34,2931.428748031754
29,Campaign_29_Winter,2025-07-16,2025-10-06,32,Instagram,Stories,All,18-24,2865.7906342087085
29,Campaign_29_Winter,2025-07-16,2025-10-06,54,Instagram,Image,Female,25-34,2771.463221455158
29,Campaign_29_Winter,2025-07-16,2025-10-06,81,Instagram,Carousel,All,25-34,2899.9872554970825
29,Campaign_29_Winter,2025-07-16,2025-10-06,83,Facebook,Video,All,All,2863.3890488630886
29,Campaign_29_Winter,2025-07-16,2025-10-06,142,Facebook,Image,All,All,2530.2230584342324
29,Campaign_29_Winter,2025-07-16,2025-10-06,163,Facebook,Carousel,Female,25-34,2911.3780335099746
39,Campaign_39_Q3,2025-05-18,2025-07-27,55,Instagram,Carousel,Male,35-44,17896.22164877063
39,Campaign_39_Q3,2025-05-18,2025-07-27,58,Facebook,Image,Male,18-24,18868.729400907327
39,Campaign_39_Q3,2025-05-18,2025-07-27,168,Facebook,Image,Male,All,18873.22895032204
42,Campaign_42_Summer,2025-06-08,2025-07-25,26,Facebook,Image,Female,All,1042.3648708061664
42,Campaign_42_Summer,2025-06-08,2025-07-25,48,Facebook,Carousel,All,All,909.2948266334848
42,Campaign_42_Summer,2025-06-08,2025-07-25,70,Facebook,Stories,Female,18-24,1009.0516250624948
42,Campaign_42_Summer,2025-06-08,2025-07-25,101,Facebook,Video,All,18-24,951.554208459334
42,Campaign_42_Summer,2025-06-08,2025-07-25,111,Facebook,Stories,Female,All,1035.843689452898
42,Campaign_42_Summer,2025-06-08,2025-07-25,117,Facebook,Stories,All,18-24,941.0593511457135
42,Campaign_42_Summer,2025-06-08,2025-07-25,160,Instagram,Stories,All,25-34,1045.0572444095583
42,Campaign_42_Summer,2025-06-08,2025-07-25,167,Instagram,Carousel,All,25-34,983.8141840303501
46,Campaign_46_Winter,2025-05-10,2025-08-07,37,Facebook,Carousel,All,35-44,17668.229648648365
46,Campaign_46_Winter,2025-05-10,2025-08-07,80,Facebook,Stories,Male,35-44,19161.181502866388
46,Campaign_46_Winter,2025-05-10,2025-08-07,102,Facebook,Image,All,25-34,19745.07261266272
46,Campaign_46_Winter,2025-05-10,2025-08-07,153,Facebook,Video,All,18-24,18772.077475499456
46,Campaign_46_Winter,2025-05-10,2025-08-07,177,Instagram,Carousel,Female,35-44,18677.19876032306
